name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
skopje,1/1/2023,2.7,0.9,1.5,2.7,0.9,1.5,1.5,99.4,0,0,0,,0,0,9.4,3.6,280.4,1034.1,97.6,1,59.9,5.1,4,10,2023-01-01T07:02:26,2023-01-01T16:13:10,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"LWSK,13586099999,BKPR,13588099999,13590099999,13489099999,D3068,13571099999,13575099999,13481199999"
skopje,1/2/2023,2.9,-0.1,0.8,2.9,-1,0.7,0.6,98.4,0,0,0,,0,0,7.6,7,15.3,1032.6,98.7,1.3,55.9,4.8,4,10,2023-01-02T07:02:31,2023-01-02T16:14:02,0.35,Overcast,Cloudy skies throughout the day.,cloudy,"LWSK,13586099999,13576099999,BKPR,13588099999,13590099999,13489099999,D3068,13591099999,13571099999,13575099999,13481199999"
skopje,1/3/2023,2.6,-1,0.8,2.6,-2.3,0.7,0.6,98.8,0,0,0,,0,0,12.2,6.6,343.4,1029.7,98.1,1.4,62.4,5.4,4,10,2023-01-03T07:02:34,2023-01-03T16:14:56,0.38,Overcast,Cloudy skies throughout the day.,cloudy,"LWSK,13586099999,BKPR,13588099999,13590099999,D3068,13489099999,13571099999,13575099999,13481199999"
skopje,1/4/2023,10.9,-0.8,3.7,10.9,-0.8,3.3,2.6,92.5,0,0,0,,0,0,14.4,19.8,26.1,1029,78.4,5.3,38,3.3,2,10,2023-01-04T07:02:35,2023-01-04T16:15:51,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LWSK,13586099999,13576099999,BKPR,13588099999,13590099999,D3068,13489099999,13591099999,13571099999,13575099999,13481199999"
skopje,1/5/2023,10.1,0.1,5.3,10.1,0.1,5.1,3.3,87.4,0,0,0,,0,0,13.7,7.4,52.7,1023.5,63.7,10.6,58.3,5,4,10,2023-01-05T07:02:33,2023-01-05T16:16:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LWSK,13586099999,13576099999,BKPR,13590099999,13588099999,13489099999,D3068,13591099999,13571099999,13575099999,13481199999"
skopje,1/6/2023,13.8,-2.8,3.5,13.8,-2.8,3.2,0.3,81.9,0,0,0,,0,0,18,14.1,358.3,1025.2,21.7,9.4,57.5,5,4,10,2023-01-06T07:02:29,2023-01-06T16:17:46,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LWSK,13586099999,13576099999,BKPR,13588099999,13590099999,D3068,13489099999,13591099999,13571099999,13575099999,13481199999"
skopje,1/7/2023,11,-3.2,1.9,11,-3.2,1.7,-1.1,82.6,0,0,0,,0,0,14.4,10.1,52.4,1025.3,1.1,11.7,66.4,5.8,4,10,2023-01-07T07:02:22,2023-01-07T16:18:45,0.5,Clear,Clear conditions throughout the day.,clear-day,"LWSK,13586099999,13576099999,BKPR,13590099999,13588099999,D3068,13489099999,13591099999,13571099999,13575099999,13481199999"
skopje,1/8/2023,9.9,-5,0.7,9.9,-5,0.5,-1.4,87.2,0,0,0,,0,0,13.3,13.8,325.9,1022.4,24.4,10.8,73.5,6.1,4,10,2023-01-08T07:02:13,2023-01-08T16:19:46,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LWSK,13586099999,13576099999,BKPR,13590099999,13588099999,13489099999,D3068,13591099999,13571099999,13575099999,13481199999"
skopje,1/9/2023,9.8,-3.6,2.5,7.1,-4.1,1.7,0.7,88.2,0.016,100,4.17,rain,0,0,51.8,33,230.2,1016.5,62.5,9.1,34.4,2.9,2,10,2023-01-09T07:02:02,2023-01-09T16:20:48,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LWSK,13586099999,13576099999,BKPR,13590099999,13588099999,D3068,13591099999,13571099999,13575099999,13481199999"
skopje,1/10/2023,10.7,3,7.1,10.7,0.1,5.5,5,87.1,1.916,100,16.67,rain,0,0,38.9,36.6,1.6,1007.2,83.7,10.4,26.4,2.1,2,10,2023-01-10T07:01:48,2023-01-10T16:21:52,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LWSK,13586099999,13576099999,BKPR,13590099999,13588099999,13489099999,D3068,13591099999,13571099999,13575099999,13481199999"
